listentry,name,grade,listdate,amenddate,legacyuid,capturesca,location
1021818,VIADUCT OVER MIDFORD BROOK,II,06/14/1988 12:00:00 AM,,314532,1:2500,"(51.35739, -2.3159)"
1115154,THE OLD RECTORY,II,05/19/1950 12:00:00 AM,,31923,1:2500,"(51.29378, -2.42547)"
1115155,CHURCH OF ST MARY MAGDALEN,II,12/21/1979 12:00:00 AM,,31924,1:2500,"(51.29391, -2.42632)"
1115156,COMBE FARMHOUSE,II,12/21/1979 12:00:00 AM,,31926,1:2500,"(51.2918, -2.42621)"
1115157,ENTRANCE PIERS AND FLANKING WALL TO EAST OF PARISH CHURCH OF ST JOHN THE BAPTIST,II,12/21/1979 12:00:00 AM,,31928,1:2500,"(51.28577, -2.48473)"
1115158,"5, CHURCH SQUARE",II,12/21/1979 12:00:00 AM,,31929,1:2500,"(51.2861, -2.48519)"
1115159,CHURCH FARMHOUSE,II,04/09/1975 12:00:00 AM,,31931,1:2500,"(51.28619, -2.48505)"
1115160,THE PRIORY,II*,05/19/1950 12:00:00 AM,,31933,1:2500,"(51.28658, -2.48565)"
1115161,"8, COOMB END",II,12/21/1979 12:00:00 AM,,31936,1:2500,"(51.29552, -2.44979)"
1115162,HAM BUILDINGS,II,12/21/1979 12:00:00 AM,,31937,1:2500,"(51.29393, -2.45037)"
1115163,FIR TREE INN,II,12/21/1979 12:00:00 AM,,31940,1:2500,"(51.28833, -2.42961)"
1115164,COUNCIL OFFICES,II*,05/19/1950 12:00:00 AM,,31946,1:2500,"(51.28601, -2.48219)"
1115165,"GARDEN WALL, WITH 3 GROTTO ARCHES SET IN, TO NORTH EAST OF NUMBER 19",II,12/21/1979 12:00:00 AM,,31947,1:2500,"(51.28626, -2.48166)"
1115166,"26 AND 27, HIGH STREET",II,12/21/1979 12:00:00 AM,,31948,1:2500,"(51.28723, -2.48022)"
1115167,TOWN HALL,II,12/21/1979 12:00:00 AM,,31949,1:2500,"(51.28549, -2.48297)"
1115168,"128, HIGH STREET",II,12/21/1979 12:00:00 AM,,31950,1:2500,"(51.28565, -2.48424)"
1115169,ISLAND HOUSE,II,12/21/1979 12:00:00 AM,,31951,1:2500,"(51.28506, -2.48426)"
1115170,THE ISLAND HOUSE,II,05/19/1950 12:00:00 AM,,31952,1:2500,"(51.285, -2.48482)"
1115171,EAST GARDEN WALL TO NUMBER 11 (THE ISLAND HOUSE),II,12/21/1979 12:00:00 AM,,31953,1:2500,"(51.28506, -2.48458)"
1115172,MONUMENT AND ST CHAD'S WELL ABOUT 40 YARDS SOUTH WEST OF NUMBER 11 (THE ISLAND HOUSE),II,12/21/1979 12:00:00 AM,,31954,1:2500,"(51.28465, -2.48471)"
1115173,BARTON MEADE HOUSE,II,05/19/1950 12:00:00 AM,05/09/1980 12:00:00 AM,31956,1:2500,"(51.27963, -2.45431)"
1115174,THE WALDEGRAVE ARMS HOTEL,II,12/21/1979 12:00:00 AM,,31959,1:2500,"(51.29341, -2.44846)"
1115175,LARGE BARN IMMEDIATELY SOUTH EAST OF WELTON MANOR HOUSE,II,12/21/1979 12:00:00 AM,,31961,1:2500,"(51.2935, -2.47439)"
1115176,NORMAN ARCHWAY IN GARDEN WALL TO REAR OF NUMBER 83 (VICARAGE),II*,12/21/1979 12:00:00 AM,,31964,1:2500,"(51.28743, -2.48655)"
1115177,HOLY TRINITY VICARAGE,II,12/21/1979 12:00:00 AM,,31967,1:2500,"(51.30264, -2.46152)"
1115178,"37, PRIORY CLOSE",II*,12/21/1979 12:00:00 AM,,31969,1:2500,"(51.28685, -2.4868)"
1115179,"1, SILVER STREET",II,12/21/1979 12:00:00 AM,,31972,1:2500,"(51.28481, -2.48178)"
1115180,PARISH CHURCH OF ST NICHOLAS,II,05/19/1950 12:00:00 AM,,31982,1:2500,"(51.29003, -2.44787)"
1115181,CO-OPERATIVE HOUSE,II,12/21/1979 12:00:00 AM,,31985,1:2500,"(51.29222, -2.44882)"
1115182,WESTFIELD HOUSE,II,12/21/1979 12:00:00 AM,,31987,1:2500,"(51.28463, -2.46764)"
1115183,CROWN INN,II,12/21/1979 12:00:00 AM,,31990,1:2500,"(51.29134, -2.47763)"
1115184,"POWDERHOUSE, 120 METRES EAST IN FIELD (AT 6851 5523)",II,06/22/1988 12:00:00 AM,,31998,1:2500,"(51.29565, -2.45307)"
1115185,KENNET COURT,II,02/01/1956 12:00:00 AM,10/19/1983 12:00:00 AM,31999,1:2500,"(51.39466, -2.32672)"
1115186,GLEBE COTTAGE,II,10/19/1983 12:00:00 AM,,32001,1:2500,"(51.39452, -2.32777)"
1115187,"OSBORNE HOUSE, AND FORMER COACH HOUSE ADJOINING TO RIGHT",II,10/19/1983 12:00:00 AM,,32003,1:2500,"(51.39332, -2.33018)"
1115188,DINAS,II,10/19/1983 12:00:00 AM,,32004,1:2500,"(51.3932, -2.33058)"
1115189,WOODHILL,II,10/19/1983 12:00:00 AM,,32005,1:2500,"(51.39309, -2.33094)"
1115190,HESSLE HOUSE,II,10/19/1983 12:00:00 AM,,32006,1:2500,"(51.39299, -2.33134)"
1115191,COURT LEET,II,02/01/1956 12:00:00 AM,,32008,1:2500,"(51.39455, -2.32534)"
1115192,BATHAMPTON LODGE,II,10/19/1983 12:00:00 AM,,32012,1:2500,"(51.39625, -2.32189)"
1115193,HOLCOMBE LODGE,II,10/19/1983 12:00:00 AM,,32016,1:2500,"(51.3934, -2.31919)"
1115194,"BRIDGE OVER THE RAILWAY, TO NORTH OF CANAL BRIDGE",II,10/19/1983 12:00:00 AM,,32018,1:2500,"(51.39465, -2.333)"
1115195,"KENNET AND AVON CANAL CANAL BRIDGE, 100 YARDS TO EAST OF GEORGE INN",II,10/19/1983 12:00:00 AM,,32020,1:2500,"(51.39675, -2.3209)"
1115196,GROUP OF SIX CHEST TOMBS AT SOUTH WEST CORNER OF PARISH CHURCH OF ST NICHOLAS,II,10/19/1983 12:00:00 AM,,32023,1:2500,"(51.39733, -2.32182)"
1115197,GROUP OF 5 CHEST TOMBS AT SOUTH EAST CORNER OF PARISH CHURCH OF ST NICHOLAS,II,10/19/1983 12:00:00 AM,,32027,1:2500,"(51.39736, -2.32142)"
1115198,GROUP OF 3 CHEST TOMBS TO NORTH EAST CORNER OF PARISH CHURCH OF ST NICHOLAS,II,10/19/1983 12:00:00 AM,,32030,1:2500,"(51.39755, -2.32134)"
1115199,"BARN, OF MANOR FARM, 100 YARDS TO NORTH OF PARISH CHURCH OF ST NICHOLAS",II,10/19/1983 12:00:00 AM,,32032,1:2500,"(51.3977, -2.32188)"
1115200,SCANDA RESTAURANT,II,10/19/1983 12:00:00 AM,,32036,1:2500,"(51.40061, -2.3252)"
1115201,HAMPTON HOUSE,II,10/19/1983 12:00:00 AM,,32039,1:2500,"(51.39067, -2.33972)"
1115202,CHURCH OF THE HOLY GHOST,II*,05/19/1950 12:00:00 AM,12/21/1979 12:00:00 AM,31943,1:2500,"(51.28629, -2.48366)"
1115203,THE JERSEY DAIRY STORES,II,05/19/1950 12:00:00 AM,,31944,1:2500,"(51.28583, -2.48321)"
1115204,"7 AND 8, AVONDALE PLACE",II,10/19/1983 12:00:00 AM,,32045,1:2500,"(51.4048, -2.32272)"
1115205,"3 AND 4, BANNERDOWN ROAD",II,10/19/1983 12:00:00 AM,,32047,1:2500,"(51.40537, -2.31606)"
1115206,CLIFF HOUSE,II,02/01/1956 12:00:00 AM,,32049,1:2500,"(51.40552, -2.32165)"
1115207,PROSPECT PLACE,II,10/19/1983 12:00:00 AM,,32050,1:2500,"(51.40564, -2.32158)"
1115208,OUTBUILDING TO WEST OF POPLAR HOUSE,II,10/19/1983 12:00:00 AM,,32052,1:2500,"(51.40588, -2.32158)"
1115209,"16, THE BATCH",II,02/01/1956 12:00:00 AM,,32055,1:2500,"(51.40592, -2.32073)"
1115210,NORTHWAY,II,02/01/1956 12:00:00 AM,,32057,1:2500,"(51.40604, -2.32055)"
1115211,PAX VOBIS,II,10/19/1983 12:00:00 AM,,32058,1:2500,"(51.40613, -2.32051)"
1115212,"21 AND 22, THE BATCH",II,10/19/1983 12:00:00 AM,,32060,1:2500,"(51.4063, -2.32038)"
1115213,BATHEASTON COTTAGE (TO NORTH OF CHURCH COTTAGE),II,10/19/1983 12:00:00 AM,,32063,1:2500,"(51.41003, -2.32242)"
1115214,"BARN, 50 YARDS TO WEST OF BATHEASTON COTTAGE",II,10/19/1983 12:00:00 AM,,32065,1:2500,"(51.41015, -2.32285)"
1115215,EDEN PARK,II,10/19/1983 12:00:00 AM,,32067,1:2500,"(51.40901, -2.31395)"
1115216,"THE LODGE COMPRISING NORTH, SOUTH, EAST AND WEST LODGES",II,10/19/1983 12:00:00 AM,,32069,1:2500,"(51.40359, -2.32605)"
1115217,"163, HIGH STREET",II,10/19/1983 12:00:00 AM,,32072,1:2500,"(51.40496, -2.32307)"
1115218,AVONCLIFFE,II,02/01/1956 12:00:00 AM,,32074,1:2500,"(51.40528, -2.32227)"
1115219,BRAESIDE,II,10/19/1983 12:00:00 AM,,32078,1:2500,"(51.40596, -2.3202)"
1115220,"218, HIGH STREET",II,10/19/1983 12:00:00 AM,,32081,1:2500,"(51.40451, -2.32338)"
1115221,"228, HIGH STREET",II,10/19/1983 12:00:00 AM,,32085,1:2500,"(51.40466, -2.32311)"
1115222,"230-240, HIGH STREET",II,10/19/1983 12:00:00 AM,,32086,1:2500,"(51.40468, -2.32304)"
1115223,"250, HIGH STREET",II,10/19/1983 12:00:00 AM,,32090,1:2500,"(51.40513, -2.32195)"
1115224,OLD FARM,II,05/19/1950 12:00:00 AM,,31991,1:2500,"(51.29322, -2.48009)"
1115225,WELTON BAPTIST CHAPEL,II,12/21/1979 12:00:00 AM,,31992,1:2500,"(51.29283, -2.47926)"
1115226,"274, HIGH STREET",II,10/19/1983 12:00:00 AM,,32096,1:2500,"(51.40541, -2.32093)"
1115227,"AMORIL HOUSE, GARDEN WALL AND GATE PIERS TO ROAD",II,10/19/1983 12:00:00 AM,,32098,1:2500,"(51.40555, -2.32064)"
1115228,MANOR HOUSE,II,10/19/1983 12:00:00 AM,,32100,1:2500,"(51.40574, -2.32009)"
1115229,FRONT BOUNDARY WALL TO ROAD AND TWO SETS OF ARCHWAYS TO BATHEASTON HOUSE,II,10/19/1983 12:00:00 AM,,32101,1:2500,"(51.40587, -2.3196)"
1115230,"RETAINING WALL AND STEPS TO TERRACE WITH ORANGERY AT EAST END, AT REAR OF BATHEASTON HOUSE",II,10/19/1983 12:00:00 AM,,32103,1:2500,"(51.40566, -2.31958)"
1115231,"SECTION OF GARDEN WALL 100 YARDS TO SOUTH EAST OF BATHEASTON HOUSE, INCLUDING NICHE AND GARDEN SEAT",II,10/19/1983 12:00:00 AM,,32106,1:2500,"(51.40528, -2.31821)"
1115232,BROOK LODGE INCLUDING FRONT BOUNDARY WALL TO ROAD AND GATEPIERS,II,02/01/1956 12:00:00 AM,,32108,1:2500,"(51.40589, -2.31862)"
1115233,"203, LONDON ROAD EAST",II,10/19/1983 12:00:00 AM,,32109,1:2500,"(51.40569, -2.3181)"
1115234,GEORGE AND DRAGON AND WHITE LION INNS,II,10/19/1983 12:00:00 AM,,32111,1:2500,"(51.40548, -2.31719)"
1115235,MEADOW VIEW,II,10/19/1983 12:00:00 AM,,32113,1:2500,"(51.40523, -2.31617)"
1115236,"245 AND 247, LONDON ROAD EAST",II,10/19/1983 12:00:00 AM,,32115,1:2500,"(51.40474, -2.31529)"
1115237,PORTALS (BATHFORD) LIMITED,II,10/19/1983 12:00:00 AM,,32116,1:2500,"(51.40466, -2.31512)"
1115238,"BROW HILL, INCLUDING 5 YARDS OF BOUNDARY WALL TO ROAD AND DOORWAYS AND GATE PIERS TO RIGHT OF HOUSE",II,10/19/1983 12:00:00 AM,,32120,1:2500,"(51.40677, -2.32022)"
1115239,NOS 20 TO 26 INCLUDING BOUNDARY WALLS,II,10/19/1983 12:00:00 AM,,32122,1:2500,"(51.40755, -2.3201)"
1115240,VICARAGE COTTAGE,II,10/19/1983 12:00:00 AM,,32125,1:2500,"(51.4095, -2.3207)"
1115241,PINE COTTAGE,II,10/19/1983 12:00:00 AM,,32129,1:2500,"(51.41019, -2.32073)"
1115242,MIDDLESEX HOUSE INCLUDING GARDEN WALL AND GATE TO ROAD,II,10/19/1983 12:00:00 AM,,32132,1:2500,"(51.4113, -2.3201)"
1115243,NORTHEND COTTAGES,II,10/19/1983 12:00:00 AM,,32134,1:2500,"(51.41194, -2.31978)"
1115244,"108 AND 110, NORTHEND",II*,02/01/1956 12:00:00 AM,,32137,1:2500,"(51.41323, -2.31854)"
1115245,FAIRHAVEN,II,10/19/1983 12:00:00 AM,,32141,1:2500,"(51.4166, -2.31542)"
1115246,"1-4, AVONDALE PLACE",II,10/19/1983 12:00:00 AM,,32043,1:2500,"(51.4048, -2.32254)"
1115247,NUTWOOD,II,10/19/1983 12:00:00 AM,,32146,1:2500,"(51.40915, -2.32106)"
1115248,5 CHEST TOMBS AT SOUTH EAST CORNER OF CHURCH OF ST JOHN THE BAPTIST,II,10/19/1983 12:00:00 AM,,32148,1:2500,"(51.40972, -2.32115)"
1115249,"CHEST TOMB, 5 YARDS TO SOUTH EAST OF PORCH OF CHURCH OF ST JOHN THE BAPTIST",II,10/19/1983 12:00:00 AM,,32149,1:2500,"(51.40964, -2.32128)"
1115250,NORTHEND COTTAGE,II,10/19/1983 12:00:00 AM,,32151,1:2500,"(51.41183, -2.32027)"
1115251,"NO 51, INCLUDING BOUNDARY WALL TO ROAD AND GATEPIERS",II,10/19/1983 12:00:00 AM,,32153,1:2500,"(51.412, -2.32017)"
1115252,EAGLE HOUSE INCLUDING BALUSTRADE 2 YARDS IN FRONT OF SOUTH ELEVATION,II*,02/01/1956 12:00:00 AM,,32156,1:2500,"(51.41371, -2.31844)"
1115253,SWINBROOK FARMHOUSE,II,10/19/1983 12:00:00 AM,,32158,1:2500,"(51.41402, -2.31829)"
1115254,MYRTLE COTTAGE,II,10/19/1983 12:00:00 AM,,32160,1:2500,"(51.41587, -2.31653)"
1115255,UPPER NORTHEND FARMHOUSE,II,02/01/1956 12:00:00 AM,,32161,1:2500,"(51.42083, -2.31402)"
1115256,PROSPECT HOUSE AND ADJOINING COTTAGE,II,10/19/1983 12:00:00 AM,,32163,1:2500,"(51.41278, -2.32123)"
1115257,FAIRVIEW,II,10/19/1983 12:00:00 AM,,32166,1:2500,"(51.41351, -2.3138)"
1115258,HARTLEY FARMHOUSE,II,10/19/1983 12:00:00 AM,,32168,1:2500,"(51.43301, -2.35903)"
1115259,"6, ASHLEY ROAD",II,10/19/1983 12:00:00 AM,,32170,1:2500,"(51.40056, -2.29975)"
1115260,BATHFORD BAKERY,II,10/19/1983 12:00:00 AM,,32171,1:2500,"(51.40114, -2.30338)"
1115261,"20, BATHFORD HILL",II,10/19/1983 12:00:00 AM,,32175,1:2500,"(51.40102, -2.30509)"
1115262,"42, BATHFORD HILL",II,10/19/1983 12:00:00 AM,,32178,1:2500,"(51.40074, -2.3029)"
1115263,THE GARDEN COTTAGE,II,10/19/1983 12:00:00 AM,,32180,1:2500,"(51.40138, -2.3016)"
1115264,RAILWAY BRIDGE OVER BRADFORD ROAD,II,10/19/1983 12:00:00 AM,,32185,1:2500,"(51.4022, -2.30919)"
1115265,POST OFFICE,II,10/19/1983 12:00:00 AM,,32093,1:2500,"(51.40523, -2.32155)"
1115266,"9 AND 10, CHURCH STREET",II,10/19/1983 12:00:00 AM,,32195,1:2500,"(51.40038, -2.30297)"
1115267,"11 AND 12, CHURCH STREET",II,10/19/1983 12:00:00 AM,,32196,1:2500,"(51.40009, -2.30343)"
1115268,"15 AND 16, CHURCH STREET",II,10/19/1983 12:00:00 AM,,32198,1:2500,"(51.39994, -2.30363)"
1115269,"18, CHURCH STREET",II,10/19/1983 12:00:00 AM,,32200,1:2500,"(51.39985, -2.30377)"
1115270,ST CUTHBERTS AND BOUNDARY WALL AND GATEPIERS,II,10/19/1983 12:00:00 AM,,32202,1:2500,"(51.39972, -2.30407)"
1115271,IVY COTTAGE,II,10/19/1983 12:00:00 AM,,32203,1:2500,"(51.39962, -2.30413)"
1115272,EAGLE HOUSE AND THE OLD MALTINGS,II*,02/01/1956 12:00:00 AM,,32206,1:2500,"(51.39943, -2.3049)"
1115273,"BOUNDARY WALL AND TWO SETS OF GATEPIERS TO BIDSTON AND NO 31 (BATHFORD HOUSE)
BOUNDARY WALL TO BIDSTON AND NO 31 CHURCH STREET
GATEPIERS AT BEGINNING OF CHURCH CLOSE",II,10/19/1983 12:00:00 AM,,32210,1:2500,"(51.39853, -2.30629)"
1115274,LYCH GATE TO PARISH CHURCH OF ST SWITHUN'S AND TWO SEATS,II,10/19/1983 12:00:00 AM,,32212,1:2500,"(51.39847, -2.30621)"
1115275,"CHEST TOMB TO SOUTH WEST OF LYCH GATE, PARISH CHURCH OF ST SWITHUN'S",II,10/19/1983 12:00:00 AM,,32215,1:2500,"(51.39837, -2.30631)"
1115276,"CHEST TOMB TO EAST OF NORTH PORCH, PARISH CHURCH OF ST SWITHUN'S",II,10/19/1983 12:00:00 AM,,32217,1:2500,"(51.39828, -2.30599)"
1115277,GROUP OF 35 CHEST TOMBS TO EAST OF PARISH CHURCH OF ST SWITHUN'S,II,10/19/1983 12:00:00 AM,,32219,1:2500,"(51.39809, -2.30566)"
1115278,"SYCAMORE HOUSE, INCLUDING BOUNDARY WALL TO ROAD, GATE AND GATEPIERS",II,10/19/1983 12:00:00 AM,,32221,1:2500,"(51.39914, -2.30448)"
1115279,"2, DOVERS LANE",II,10/19/1983 12:00:00 AM,,32224,1:2500,"(51.40032, -2.30126)"
1115280,"45, HIGH STREET",II,10/19/1983 12:00:00 AM,,32226,1:2500,"(51.40058, -2.3002)"
1115281,GLEN ROSA,II,10/19/1983 12:00:00 AM,,32227,1:2500,"(51.40058, -2.30011)"
1115282,"63, HIGH STREET",II,10/19/1983 12:00:00 AM,,32231,1:2500,"(51.40035, -2.29914)"
1115283,"NORTHFIELD, INCLUDING GATEPIERS AND BOUNDARY WALLS TO ROAD",II,10/19/1983 12:00:00 AM,,32233,1:2500,"(51.40021, -2.2984)"
1115284,"48, HIGH STREET",II,02/01/1956 12:00:00 AM,10/19/1983 12:00:00 AM,32236,1:2500,"(51.40044, -2.30218)"
1115285,THE INN AND PUBLIC HOUSE,II,10/19/1983 12:00:00 AM,,32240,1:2500,"(51.40045, -2.30145)"
1115286,"BARN, 10 METRES TO NORTH EAST OF RADFORD FARMHOUSE",II,10/19/1983 12:00:00 AM,,32143,1:2500,"(51.41722, -2.315)"
1115287,THE OLD HOUSE,II,10/19/1983 12:00:00 AM,,32144,1:2500,"(51.41858, -2.31386)"
1115288,"NO 104, INCLUDING BOUNDARY WALLS AND GATE PIERS TO ROAD",II,10/19/1983 12:00:00 AM,,32246,1:2500,"(51.39956, -2.29733)"
1115289,"112 AND 114, HIGH STREET",II,10/19/1983 12:00:00 AM,,32248,1:2500,"(51.39933, -2.29642)"
1115290,"142, HIGH STREET",II,10/19/1983 12:00:00 AM,,32249,1:2500,"(51.39865, -2.2939)"
1115291,MILESTONE AT NGR ST 8001 6675,II,10/19/1983 12:00:00 AM,,32251,1:2500,"(51.39931, -2.28867)"
1115292,WALLS AND GATEPIERS FLANKING ENTRANCE TO BATHFORD MANOR,II,10/19/1983 12:00:00 AM,,32253,1:2500,"(51.39946, -2.30406)"
1115293,"8, MANOR DRIVE",II,10/19/1983 12:00:00 AM,,32255,1:2500,"(51.3996, -2.30304)"
1115294,NORTH WING OF SHOCKERWICK COTTAGE,II,10/19/1983 12:00:00 AM,03/07/2008 12:00:00 AM,32263,1:2500,"(51.41751, -2.29098)"
1115295,"OAK LODGE
SOUTH LODGE",II,10/19/1983 12:00:00 AM,,32265,1:2500,"(51.41169, -2.28585)"
1115296,GARDEN HOUSE SOUTH WEST OF SHOCKERWICK HOUSE,II,10/19/1983 12:00:00 AM,,32268,1:2500,"(51.41557, -2.28332)"
1115297,"ORANGERY, 25 YARDS TO EAST OF SHOCKERWICK HOUSE",II,02/01/1956 12:00:00 AM,,32270,1:2500,"(51.41641, -2.28095)"
1115298,LOWER SHOCKERWICK FARMHOUSE,II,10/19/1983 12:00:00 AM,,32271,1:2500,"(51.41639, -2.28584)"
1115299,STABLES TO WEST AND RANGE OF SHELTER SHEDS AND ADJOINING TWO BARNS TO LOWER SHOCKERWICK FARMHOUSE,II,10/19/1983 12:00:00 AM,,32273,1:2500,"(51.41649, -2.28627)"
1115300,THE COTTAGE,II,02/01/1956 12:00:00 AM,,32275,1:2500,"(51.38178, -2.30045)"
1115301,CLASSROOMS TO WARLEIGH MANOR SCHOOL,II,10/19/1983 12:00:00 AM,,32276,1:2500,"(51.3821, -2.30042)"
1115302,PARISH CHURCH OF ST PETER,II*,02/01/1956 12:00:00 AM,,32279,1:2500,"(51.34013, -2.30328)"
1115303,GROUP OF 4 CHEST TOMBS TO SOUTH AND SOUTH EAST OF PARISH CHURCH OF ST PETER,II,10/19/1983 12:00:00 AM,,32280,1:2500,"(51.34, -2.30346)"
1115304,COTTAGE ADJOINING AND TO RIGHT OF MANORTHORPE AND GARDENTHORPE,II,10/19/1983 12:00:00 AM,,32285,1:2500,"(51.33987, -2.30366)"
1115305,MORRIS STORES,II,10/19/1983 12:00:00 AM,,32286,1:2500,"(51.33977, -2.30339)"
1115306,VINE COTTAGE,II,02/01/1956 12:00:00 AM,,32290,1:2500,"(51.3394, -2.30389)"
1115307,"5, CHURCH STREET",II,10/19/1983 12:00:00 AM,,32193,1:2500,"(51.40052, -2.30277)"
1115308,FRESHFORD MANOR,II*,02/01/1956 12:00:00 AM,,32295,1:2500,"(51.34035, -2.3027)"
1115309,"SIR WILLIAM NAPIER'S TABLE, IN GROUNDS OF FRESHFORD MANOR, 30 YARDS TO SOUTH-EAST OF HOUSE",II,02/01/1956 12:00:00 AM,,32296,1:2500,"(51.34001, -2.30234)"
1115310,"FORMER COACH HOUSE, STABLE AND SECTION OF GARDEN WALL TO REAR OF THE OLD HOUSE",II,10/19/1983 12:00:00 AM,,32298,1:2500,"(51.33966, -2.30171)"
1115311,"ORANGERY, 100 YARDS TO THE NORTH OF THE OLD HOUSE",II,10/19/1983 12:00:00 AM,,32300,1:2500,"(51.3401, -2.30161)"
1115312,FAIRCLOSE,II,10/19/1983 12:00:00 AM,,32301,1:2500,"(51.33902, -2.30056)"
1115313,GARDEN WALL AND SUMMER HOUSE TO NORTH WEST OF TOUCHSTONE,II,10/19/1983 12:00:00 AM,,32303,1:2500,"(51.33924, -2.30247)"
1115314,"HILL HOUSE, RAILINGS PIERS AND GATE TO FRONT",II,02/01/1956 12:00:00 AM,10/19/1983 12:00:00 AM,32308,1:2500,"(51.3393, -2.30155)"
1115315,"FORMER COACH HOUSE, STABLES AND BARN, 20 YARDS TO NORTH WEST OF IFORD MANOR",II,10/19/1983 12:00:00 AM,,32312,1:2500,"(51.32916, -2.28797)"
1115316,IFORD BRIDGE,II*,02/01/1956 12:00:00 AM,,32313,1:2500,"(51.32883, -2.28813)"
1115317,THE OLD BREWERY AND BREWERY COTTAGE,II,10/19/1983 12:00:00 AM,,32317,1:2500,"(51.34055, -2.30463)"
1115318,WALNUT COTTAGE,II,10/19/1983 12:00:00 AM,,32321,1:2500,"(51.33519, -2.31212)"
1115319,MILL COTTAGE,II,11/13/1978 12:00:00 AM,,32322,1:2500,"(51.33436, -2.30956)"
1115320,HERMITAGE COTTAGE,II,10/19/1983 12:00:00 AM,,32324,1:2500,"(51.33616, -2.31093)"
1115321,WOODSIDE COTTAGES,II,10/19/1983 12:00:00 AM,,32326,1:2500,"(51.33577, -2.30153)"
1115322,THE HILL,II,10/19/1983 12:00:00 AM,,32328,1:2500,"(51.3353, -2.30211)"
1115323,ROSE COTTAGE,II,02/01/1956 12:00:00 AM,,32329,1:2500,"(51.34073, -2.30137)"
1115324,THE INN PUBLIC HOUSE,II,02/01/1956 12:00:00 AM,,32331,1:2500,"(51.33895, -2.30109)"
1115325,PEIPARD'S FARMHOUSE,II,10/19/1983 12:00:00 AM,,32333,1:2500,"(51.3406, -2.32154)"
1115326,AVONDALE,II,10/19/1983 12:00:00 AM,,32336,1:2500,"(51.34031, -2.30469)"
1115327,STONELEIGH,II,10/19/1983 12:00:00 AM,,32338,1:2500,"(51.3402, -2.30483)"
1115328,GLEBE COTTAGE,II,10/19/1983 12:00:00 AM,,32342,1:2500,"(51.32357, -2.37)"
1115329,"NOS 94 AND 96, INCLUDING BOUNDARY WALL TO ROAD",II,10/19/1983 12:00:00 AM,,32244,1:2500,"(51.3996, -2.29756)"
1115330,PARISH CHURCH OF ST JULIAN,I,02/01/1956 12:00:00 AM,,32345,1:1250,"(51.32409, -2.37182)"
1115331,"CHEST TOMB, 1 YARD FROM ROOD STAIR TURRET OF PARISH CHURCH",II,10/19/1983 12:00:00 AM,,32347,1:2500,"(51.32407, -2.3717)"
1115332,"CHEST TOMB, 3 YARDS TO EAST OF CHANCEL OF PARISH CHURCH",II,10/19/1983 12:00:00 AM,,32349,1:2500,"(51.32415, -2.37155)"
1115333,"CHEST TOMB, IN SOUTH EAST CORNER OF CHURCHYARD",II,10/19/1983 12:00:00 AM,,32351,1:2500,"(51.32396, -2.37144)"
1115334,"LESTER COTTAGE
PEACEHAVEN",II,10/19/1983 12:00:00 AM,,32352,1:2500,"(51.32345, -2.37318)"
1115335,"OUTBUILDING, WALLS ENCLOSING COURTYARD AND ARCHWAY TO REAR OF MANOR HOUSE",II,10/19/1983 12:00:00 AM,,32355,1:2500,"(51.32345, -2.37393)"
1115336,WEAVER'S FARMHOUSE,II,02/01/1956 12:00:00 AM,,32358,1:2500,"(51.32282, -2.37536)"
1115337,WISTARIA HOUSE,II,10/19/1983 12:00:00 AM,,32360,1:2500,"(51.32311, -2.37612)"
1115338,GREENHAYES,II,10/19/1983 12:00:00 AM,,32363,1:2500,"(51.3209, -2.38078)"
1115339,WELLOW PRIMARY SCHOOL AND WELLOW SCHOOL HOUSE,II,10/19/1983 12:00:00 AM,,32367,1:2500,"(51.32323, -2.37331)"
1115340,PRAESIDIUM,II,10/19/1983 12:00:00 AM,,32372,1:2500,"(51.32182, -2.37716)"
1115341,WILLOW FARMHOUSE,II,10/19/1983 12:00:00 AM,,32374,1:2500,"(51.32107, -2.37939)"
1115342,CANTEEN COTTAGE,II,10/19/1983 12:00:00 AM,,32376,1:2500,"(51.3208, -2.37887)"
1115343,THE MALTINGS,II,02/01/1956 12:00:00 AM,10/19/1983 12:00:00 AM,32377,1:2500,"(51.32228, -2.37346)"
1115344,MOSS COTTAGE,II,10/19/1983 12:00:00 AM,,32379,1:2500,"(51.32283, -2.37444)"
1115345,FERN COTTAGE,II,10/19/1983 12:00:00 AM,,32381,1:2500,"(51.32273, -2.37467)"
1115346,FOX AND BADGER PUBLIC HOUSE,II,10/19/1983 12:00:00 AM,,32383,1:2500,"(51.32294, -2.37443)"
1115347,FOXCOTE,II,10/19/1983 12:00:00 AM,,32384,1:2500,"(51.32285, -2.3746)"
1115348,"5, THE SQUARE (See details for further address information)",II,10/19/1983 12:00:00 AM,,32386,1:2500,"(51.32277, -2.37486)"
1115349,UPPER TWINHOE FARMHOUSE,II,10/19/1983 12:00:00 AM,,32390,1:2500,"(51.33509, -2.36343)"
1115350,"ARCHWAY AND DOOR TO PREMISES OF MILLET AND SMITH,(BUILDERS AND DECORATORS)",II,10/19/1983 12:00:00 AM,,32293,1:2500,"(51.33961, -2.30339)"
1115351,BOUNDARY WALL AND 2 PAIRS OF GATEPIERS TO SOUTH OF FRESHFORD MANOR,II,10/19/1983 12:00:00 AM,,32294,1:2500,"(51.33989, -2.3033)"
