listentry,name,grade,listdate,amenddate,legacyuid,capturesca,location
1136451,"READ AND ANSTY MONUMENTS, IN CHURCHYARD 3 AND 7 METRES SOUTH OF TOWER, CHURCH OF ALL SAINTS",II,01/15/1986 12:00:00 AM,,32787,1:2500,"(51.34303, -2.48771)"
1136453,LYONS COURT FARMHOUSE,II*,02/01/1956 12:00:00 AM,,32638,1:2500,"(51.40448, -2.56362)"
1136454,GREY HOUSE AND GATEPIERS TO FRONT,II,09/24/1984 12:00:00 AM,,32640,1:2500,"(51.40535, -2.55287)"
1136457,"HUNSTRETE HOUSE, FLANK WALL AND WEST WING",II,02/01/1954 12:00:00 AM,12/13/1985 12:00:00 AM,32698,1:2500,"(51.35494, -2.50754)"
1136458,"GROUP OF 4 MONUMENTS TO TIDCOMBE, BUSH AND KNIGHT FAMILIES, IN CHURCHYARD 2 METRES EAST OF CHANCEL, CHURCH OF ALL SAINTS",II,01/15/1986 12:00:00 AM,,32789,1:2500,"(51.34319, -2.48747)"
1136460,CONYGRE HOUSE,II,01/15/1986 12:00:00 AM,,32791,1:2500,"(51.34361, -2.49421)"
1136463,THE MANOR,II,09/21/1960 12:00:00 AM,01/15/1986 12:00:00 AM,32793,1:2500,"(51.34352, -2.49009)"
1136467,HOLLY FARMHOUSE,II,01/15/1986 12:00:00 AM,,32796,1:2500,"(51.34278, -2.49327)"
1136469,"BARN, 8 METRES WEST OF HOLLY FARMHOUSE",II,01/15/1986 12:00:00 AM,,32797,1:2500,"(51.34289, -2.49295)"
1136471,THE OLD PARSONAGE,II*,09/21/1960 12:00:00 AM,,32799,1:2500,"(51.29814, -2.53286)"
1136473,K6 TELEPHONE KIOSK,II,01/11/1990 12:00:00 AM,,32651,1:2500,"(51.40095, -2.52676)"
1136483,"K6 TELEPHONE KIOSK, WOOLLARD",II,03/07/1990 12:00:00 AM,,32653,1:2500,"(51.3783, -2.53033)"
1136484,CRISPIN COTTAGE,II,12/13/1985 12:00:00 AM,,32702,1:2500,"(51.3611, -2.47974)"
1136494,31 AND 33,II,12/13/1985 12:00:00 AM,,32704,1:2500,"(51.36123, -2.48082)"
1136514,MAY TREE COTTAGE,II,12/13/1985 12:00:00 AM,,32708,1:2500,"(51.35984, -2.4816)"
1136516,GATEPIERS TO STABLE COURT AT THE GRANGE,II,01/15/1986 12:00:00 AM,,32810,1:2500,"(51.31276, -2.51946)"
1136520,WHIDCOMBE FARMHOUSE,II,12/13/1985 12:00:00 AM,,32710,1:2500,"(51.35959, -2.48237)"
1136525,HIGH LITTLETON HOUSE,II,09/21/1960 12:00:00 AM,,32815,1:2500,"(51.31985, -2.50948)"
1136536,THE WILLOWS,II,01/15/1986 12:00:00 AM,,32819,1:2500,"(51.32162, -2.50906)"
1136543,TENNIS COURT FARMHOUSE,II,01/15/1986 12:00:00 AM,,32821,1:2500,"(51.31091, -2.52383)"
1136547,CHURCH OF ST MARGARET,I,01/15/1986 12:00:00 AM,,32823,1:2500,"(51.31041, -2.58345)"
1136550,CHURCH FARMHOUSE,II,02/01/1954 12:00:00 AM,,32715,1:2500,"(51.36265, -2.46425)"
1136551,THE OLD RECTORY,II,01/15/1986 12:00:00 AM,,32825,1:2500,"(51.30977, -2.58384)"
1136560,COLEY HOUSE,II,01/15/1986 12:00:00 AM,,32827,1:2500,"(51.29977, -2.59888)"
1136566,STOWEY HOUSE,II,09/21/1960 12:00:00 AM,,32830,1:2500,"(51.33337, -2.57742)"
1136589,POUND ABOUT 80 METRES NORTH EAST OF PRIORY FARMHOUSE,II,12/13/1985 12:00:00 AM,,32719,1:2500,"(51.36337, -2.46178)"
1136595,CURTAIN WALL TO NORTH OF SUTTON COURT WITH GAZEBO,II,01/15/1986 12:00:00 AM,,32832,1:2500,"(51.34196, -2.58039)"
1136603,KNIGHTON SUTTON FARMHOUSE,II,09/21/1960 12:00:00 AM,,32834,1:2500,"(51.34453, -2.5771)"
1136622,THE ELMS,II,01/15/1986 12:00:00 AM,,32838,1:2500,"(51.3346, -2.5925)"
1136633,"GATEPIERS TO BOUNDARY WALL, SOUTH OF TILLEY MANOR HOUSE",II,01/15/1986 12:00:00 AM,,32842,1:2500,"(51.30931, -2.63304)"
1136644,ENTRANCE GATES AND RAILINGS TO NORTH OF GOURNAY COURT,II,01/15/1986 12:00:00 AM,,32845,1:2500,"(51.3091, -2.63209)"
1136650,UNIDENTIFIED MONUMENT IN THE CHURCHYARD 6 METRES SOUTH WEST OF NAVE OF CHURCH OF ST LUKE AND ST ANDREW,II,12/13/1985 12:00:00 AM,,32727,1:2500,"(51.34187, -2.44245)"
1136652,PARSONAGE FARMHOUSE,II,09/21/1960 12:00:00 AM,,32847,1:2500,"(51.30953, -2.63135)"
1136657,TURNPIKE PARISH BOUNDARY MARKER AT WHITE ROSE COTTAGE,II,01/15/1986 12:00:00 AM,,32849,1:2500,"(51.31581, -2.63767)"
1136668,"K6 TELEPHONE KIOSK, EAST HARPTREE",II,03/07/1990 12:00:00 AM,,32851,1:2500,"(51.30132, -2.62362)"
1136678,BARN ABOUT 30 METRES EAST OF PRISTON MILL,II,12/13/1985 12:00:00 AM,,32732,1:2500,"(51.35192, -2.43884)"
1136688,MANOR HOUSE,II,12/13/1985 12:00:00 AM,,32734,1:2500,"(51.34394, -2.44355)"
1136755,"26, CHURCH SQUARE",II,12/21/1979 12:00:00 AM,,31935,1:2500,"(51.28598, -2.48453)"
1136758,"1, FOSSEWAY",II,12/21/1979 12:00:00 AM,,31938,1:2500,"(51.30033, -2.45543)"
1136766,HAYDON FARMHOUSE,II,12/21/1979 12:00:00 AM,,31941,1:2500,"(51.28392, -2.4442)"
1136837,RADSTOCK MARKET HALL,II,12/21/1979 12:00:00 AM,,31958,1:2500,"(51.29318, -2.44735)"
1136842,WELTON MANOR HOUSE,II*,12/21/1979 12:00:00 AM,,31960,1:2500,"(51.29364, -2.47483)"
1136850,VICARAGE,II,12/21/1979 12:00:00 AM,,31963,1:2500,"(51.2877, -2.48678)"
1136857,GARDEN WALL LINKING NUMBER 83 (VICARAGE) TO NORMAN ARCHWAY,II,12/21/1979 12:00:00 AM,,31965,1:2500,"(51.28769, -2.4867)"
1136901,"2, STEAM MILLS",II,12/21/1979 12:00:00 AM,12/21/1986 12:00:00 AM,31979,1:2500,"(51.283, -2.48805)"
1136917,WORKING MEN'S CLUB,II,05/19/1950 12:00:00 AM,12/21/1979 12:00:00 AM,31981,1:2500,"(51.29128, -2.44791)"
1136969,"12, WELTON ROAD",II,05/19/1950 12:00:00 AM,,31989,1:2500,"(51.29093, -2.45493)"
1136975,"1-6, CANAL TERRACE",II,10/19/1983 12:00:00 AM,,32009,1:2500,"(51.39666, -2.32218)"
1136983,"YE GRANGE, INCLUDING CAST IRON RAILINGS TO ROAD",II,02/01/1956 12:00:00 AM,,32011,1:2500,"(51.39594, -2.32295)"
1136996,"GARDEN BUILDING, 100 YARDS TO SOUTH OF BATHAMPTON LODGE",II*,10/19/1983 12:00:00 AM,,32013,1:2500,"(51.39565, -2.32118)"
